name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,0.658,0.259,-13.141,0.0705,0.694,5.87e-05,0.975,0.306,110.376,256213,28
Saudade De Bahia                                                                                                                                                                 ,0.742,0.399,-12.646,0.0346,0.217,1.88e-06,0.107,0.693,125.039,191867,12
"Canta Canta, Minha Gente                                                                                                                                                       ",0.851,0.73,-11.048,0.347,0.453,6.34e-05,0.124,0.905,93.698,152267,4
Mulher Eu Sei                                                                                                                                                                    ,0.705,0.0502,-18.115,0.0471,0.879,4.05e-05,0.386,0.524,106.802,186227,29
Rosa Morena                                                                                                                                                                      ,0.651,0.119,-19.807,0.038,0.916,0.000343,0.104,0.402,120.941,273680,3
Desafinado                                                                                                                                                                       ,0.466,0.146,-17.5,0.0649,0.931,0.154,0.107,0.423,142.885,249387,3
Madalena                                                                                                                                                                         ,0.675,0.207,-13.82,0.0545,0.963,0.414,0.112,0.684,93.531,145187,29
O Meu Amor É Glòria                                                                                                                                                              ,0.504,0.733,-10.72,0.389,0.696,5.61e-05,0.673,0.886,96.565,309760,28
Brigas Nunca Mais                                                                                                                                                                ,0.694,0.546,-11.452,0.04,0.398,0.076,0.153,0.641,170.032,204027,12
Previsao                                                                                                                                                                         ,0.674,0.864,-7.971,0.0382,0.641,0.358,0.139,0.536,99.995,181133,9
The Girl From Ipanema                                                                                                                                                            ,0.641,0.14,-16.79,0.039,0.867,0.00166,0.105,0.388,129.318,317987,3
Blue Bossa - Remastered                                                                                                                                                          ,0.48,0.433,-9.909,0.0532,0.608,0.694,0.108,0.897,82.315,271147,27
Aqua De Coco                                                                                                                                                                     ,0.755,0.732,-9.6,0.0658,0.487,0.00091,0.454,0.816,88.028,287560,4
Samba de Verão                                                                                                                                                                   ,0.697,0.405,-14.587,0.0317,0.813,0.000157,0.328,0.845,114.833,150813,9
Mas Que Nada                                                                                                                                                                     ,0.618,0.539,-12.689,0.0312,0.156,0.00214,0.187,0.916,88.646,178880,19
Nova Bossa Nova                                                                                                                                                                  ,0.598,0.739,-10.602,0.0452,0.523,0.725,0.146,0.881,95.018,246400,20
Não Sei                                                                                                                                                                          ,0.382,0.0866,-14.067,0.0396,0.978,0.00197,0.234,0.157,111.042,282947,21
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,0.563,0.112,-11.336,0.0415,0.89,0.0,0.333,0.312,108.372,218933,3
